ProduktID,ProduktName,ProduktPreis,Kategorie
1,Adidas Ultraboost Sneakers,90,Kleidung
2,Alex and Ani Birthstone Halskette,60,Schmuck
3,Apple MacBook Pro Laptop,1100,Computer und Zubehör
4,BabyBjörn Baby Carrier,220,Baby
5,Bulgari Serpenti Diamond Ring,10500,Schmuck
6,Clarisonic Mia 2 Gesichtsreinigungsbürste,155,Schönheit und Pflege
7,Coleman Campingzelt,140,Sport und Freizeit
8,David Yurman Cable Classic Armreif,300,Schmuck
9,Der Herr der Ringe,100,Bücher
10,Dyson V11 Absolute Staubsauger,530,Haushalt
11,Eames Lounge Chair,6200,Möbel
12,Fellowes Aktenvernichter,35,Bürobedarf
13,Fender Stratocaster E-Gitarre,750,Musikinstrumente
14,Fisher-Price Infant-to-Toddler Rocker,56,Baby
15,Fitbit Charge 4 Fitness-Tracker,265,Gesundheit und Wellness
16,Frontline Plus Floh- und Zeckenschutz für Hunde,25,Tierbedarf
17,Game of Thrones: Die komplette Serie (DVD-Boxset),150,Filme und Serien
18,Garmin Forerunner 245 GPS-Laufuhr,160,Sport und Freizeit
19,Graco Pack 'n Play Portable Playard,77,Baby
20,HP LaserJet Pro Drucker,160,Bürobedarf
21,Ikea Malm Kommode,50,Möbel
22,Instant Pot Duo Plus Schnellkochtopf,120,Haushalt
23,LEGO Star Wars Millennium Falcon Set,200,Spielzeug und Spiele
24,Levi's 501 Jeans,190,Kleidung
25,Marvel's Avengers: Endgame (Blu-ray),20,Filme und Serien
26,Michelin Pilot Sport 4 Reifen,150,Auto und Motorrad
27,Moleskine Classic Notizbuch,13,Bürobedarf
28,Netflix Premium-Abonnement,16,Filme und Serien
29,Pampers Swaddlers Diapers,8,Baby
30,Pandora Charm-Armband,18,Schmuck
31,Philips Sonicare elektrische Zahnbürste,85,Gesundheit und Wellness
32,Rolex Submariner Herrenuhr,15000,Uhren
33,Royal Canin Adult Trockenfutter für Katzen,20,Tierbedarf
34,Samsung Galaxy S21 Smartphone,175,Elektronik
35,Staedtler Triplus Fineliner Stifte,7,Bürobedarf
36,Swarovski Crystal Ohrringe,170,Schmuck
37,TAG Heuer Carrera Chronograph,230,Uhren
38,Tiffany & Co. Diamant-Verlobungsring,700,Schmuck
39,Trixie Kratzbaum für Katzen,200,Tierbedarf
40,Wilson Pro Staff Tennisschläger,80,Sport und Freizeit
41,WMF Besteckset Miami,100,Küche und Esszimmer
42,Zara Trenchcoat,130,Kleidung
